126794236516480 -
136679711954688 lock
136679711954640 log_prior
136679711954592 send
136679711961552 recv
126794238328368 log_likelihood
126794255490784 send
126794235084624 process_conf
126794235084384 preprocess_data
126794235138352 log_likelihood2
> 136679711961552 2912060 136686256525440 1780985083.0210729
> 126794236516480 2911992 126800800096384 1780985083.0971458
< 126794236516480 2911992 126800800096384 1780985083.097248
> 126794238328368 2911992 126800800096384 1780985083.097475
> 126794235084624 2911992 126800800096384 1780985083.0974941
< 126794235084624 2911992 126800800096384 1780985083.1040385
> 126794235084384 2911992 126800800096384 1780985083.1041012
< 126794235084384 2911992 126800800096384 1780985083.1046095
> 126794235138352 2911992 126800800096384 1780985083.1046355
< 126794235138352 2911992 126800800096384 1780985083.2109056
< 126794238328368 2911992 126800800096384 1780985083.210959
> 126794255490784 2911992 126800800096384 1780985083.2109747
< 126794255490784 2911992 126800800096384 1780985083.2913399
< 136679711961552 2912060 136686256525440 1780985083.294062
> 136679711954688 2912060 136686256525440 1780985083.2940905
< 136679711954688 2912060 136686256525440 1780985083.2941
> 136679711954640 2912060 136686256525440 1780985083.2941787
< 136679711954640 2912060 136686256525440 1780985083.294505
> 136679711954592 2912060 136686256525440 1780985083.2945168
> 126794236516480 2911992 126800800096384 1780985083.3807392
< 126794236516480 2911992 126800800096384 1780985083.38089
< 136679711954592 2912060 136686256525440 1780985083.3824413
> 136679711961552 2912060 136686256525440 1780985083.3824918
> 126794236516480 2911992 126800800096384 1780985083.461321
< 126794236516480 2911992 126800800096384 1780985083.4613862
> 126794238328368 2911992 126800800096384 1780985083.4615605
> 126794235084624 2911992 126800800096384 1780985083.461571
< 126794235084624 2911992 126800800096384 1780985083.46495
> 126794235084384 2911992 126800800096384 1780985083.4649801
< 126794235084384 2911992 126800800096384 1780985083.465405
> 126794235138352 2911992 126800800096384 1780985083.4654267
< 126794235138352 2911992 126800800096384 1780985083.578594
< 126794238328368 2911992 126800800096384 1780985083.5786583
> 126794255490784 2911992 126800800096384 1780985083.5786767
< 126794255490784 2911992 126800800096384 1780985083.6589282
< 136679711961552 2912060 136686256525440 1780985083.6654725
> 136679711954688 2912060 136686256525440 1780985083.6655066
< 136679711954688 2912060 136686256525440 1780985083.6655173
> 136679711954640 2912060 136686256525440 1780985083.6655755
< 136679711954640 2912060 136686256525440 1780985083.6658792
